ID,Name,Gender,Nationality,Date of Birth,Visa Type,Visa Issue Date,Visa Expiry Date,University Degree,Occupation,Marital Status,Employment Status,Employer Name,Annual Income (KWD),Date of Entry to Kuwait,Type of Work,Number of Dependents,Residency Status,Visa Sponsor,Last Entry Date,Previous Visa Type
1.99506E+11,Ali Alshammari,Male,Kuwaiti,6/28/1987,Student Visa,3/17/2024,10/23/2024,Yes,Building control surveyor,Married,Employed,Lee Inc,26572,2/22/2023,Private,0,Visitor,Thornton-Davis,12/8/2023,None
1.99212E+11,Ahmad Almutairi,Male,Kuwaiti,8/24/1998,Student Visa,8/12/2022,3/4/2025,No,"Solicitor, Scotland",Married,Employed,Mcintosh Inc,6644,7/10/2017,Public,0,Visitor,Johnson Group,9/11/2022,Tourist Visa
1.96104E+11,Huda Alenezi,Female,Kuwaiti,2/24/1996,Residency Visa,6/16/2020,5/28/2027,No,Mudlogger,Divorced,Unemployed,,0,7/7/2022,Private,1,Temporary Resident,Arroyo PLC,5/21/2023,Residency Visa
1.96107E+11,Dalal Albloushi,Female,Non-Kuwaiti,8/2/1996,Tourist Visa,2/23/2020,6/27/2027,Yes,Community development worker,Divorced,Self-Employed,,47455,4/15/2015,Private,5,Temporary Resident,Martin-Roth,8/7/2021,Work Visa
1.99709E+11,Munira Almutawa,Female,Kuwaiti,3/1/1975,Residency Visa,3/13/2024,2/8/2026,Yes,Retail manager,Single,Retired,,0,8/12/2015,Public,4,Permanent Resident,Clarke-Johnson,5/16/2021,Tourist Visa
1.96602E+11,Hamad Alajmi,Male,Non-Kuwaiti,9/21/1965,Student Visa,1/31/2021,2/2/2027,Yes,"Education officer, community",Single,Self-Employed,,46082,1/23/2021,Private,0,Temporary Resident,Woods Group,11/14/2019,Residency Visa
1.98609E+11,Jaber Alfailakawi,Male,Kuwaiti,1/8/1964,Residency Visa,1/14/2021,1/29/2025,No,"Scientist, physiological",Widowed,Unemployed,,0,8/23/2022,Private,3,Visitor,"Armstrong, Wright and Taylor",11/16/2022,Residency Visa
1.99108E+11,Fahad Almubarak,Male,Non-Kuwaiti,6/26/1981,Residency Visa,4/11/2020,11/9/2025,Yes,"Clinical scientist, histocompatibility and immunogenetics",Single,Employed,Ortiz-Jones,22228,6/27/2015,Private,2,Permanent Resident,"Estes, Wallace and Heath",3/5/2021,Work Visa
1.99309E+11,Zainab Alkhateeb,Female,Non-Kuwaiti,10/19/1986,Tourist Visa,10/14/2021,3/5/2025,No,Product/process development scientist,Single,Self-Employed,,37295,1/11/2020,Private,2,Permanent Resident,Lee PLC,11/28/2022,None
1.96612E+11,Ahmad Almutairi,Male,Kuwaiti,10/1/1994,Residency Visa,2/16/2022,3/9/2026,Yes,"Engineer, materials",Single,Self-Employed,,44982,4/13/2018,Private,1,Temporary Resident,Conway Inc,6/27/2022,Student Visa
1.98208E+11,Laila Alhaddad,Female,Kuwaiti,5/30/1979,Tourist Visa,12/6/2021,5/26/2027,No,Ecologist,Single,Self-Employed,,48660,11/25/2015,Private,2,Temporary Resident,Armstrong Group,10/21/2020,Tourist Visa
1.97701E+11,Mubarak Albloushi,Male,Non-Kuwaiti,9/9/2002,Residency Visa,1/6/2021,7/7/2027,No,Intelligence analyst,Married,Unemployed,,0,4/25/2017,Private,3,Permanent Resident,"Marshall, Russell and Nielsen",11/18/2020,Work Visa
1.97108E+11,Laila Alhaddad,Female,Non-Kuwaiti,2/21/1973,Work Visa,5/31/2024,5/5/2026,Yes,"Designer, graphic",Married,Self-Employed,,31855,8/24/2020,Private,3,Visitor,Torres Ltd,4/18/2024,Tourist Visa
2.00009E+11,Reem Alotaibi,Female,Kuwaiti,2/15/1992,Work Visa,11/24/2021,5/17/2027,No,Tour manager,Single,Unemployed,,0,10/7/2022,Private,3,Temporary Resident,"Peters, Wheeler and Merritt",6/24/2020,Work Visa
1.99702E+11,Fahad Almubarak,Male,Kuwaiti,12/26/1989,Tourist Visa,8/15/2021,8/18/2026,No,"Accountant, chartered management",Divorced,Self-Employed,,21982,11/6/2015,Private,3,Visitor,Hall-Jones,10/30/2023,Tourist Visa
1.99211E+11,Sara Alrashidi,Female,Kuwaiti,4/19/1970,Work Visa,4/15/2024,7/20/2026,Yes,Hydrographic surveyor,Married,Unemployed,,0,2/19/2020,Public,2,Permanent Resident,Li Inc,6/13/2021,Work Visa
1.98901E+11,Khalid Almansoori,Male,Kuwaiti,6/27/2001,Residency Visa,7/6/2022,12/6/2025,No,Press photographer,Single,Unemployed,,0,1/23/2020,Public,4,Visitor,"Jennings, Lang and Obrien",10/22/2021,Tourist Visa
1.98206E+11,Hussein Alkhateeb,Male,Kuwaiti,5/13/2002,Work Visa,9/7/2023,12/21/2026,Yes,Pathologist,Single,Retired,,0,5/17/2018,Private,2,Permanent Resident,Hunt-Wells,2/16/2024,None
1.97402E+11,Sara Alrashidi,Female,Non-Kuwaiti,12/12/2003,Tourist Visa,7/4/2022,4/11/2025,Yes,Armed forces training and education officer,Divorced,Employed,"Fernandez, Hanson and Holmes",45825,8/16/2014,Public,2,Visitor,Frost Ltd,12/1/2020,Work Visa
1.99112E+11,Hamad Alajmi,Male,Non-Kuwaiti,4/9/1998,Student Visa,12/7/2023,8/13/2025,Yes,"Engineer, agricultural",Single,Retired,,0,9/3/2021,Public,4,Temporary Resident,Moore Group,7/21/2020,Tourist Visa
1.9651E+11,Ahmad Almutairi,Male,Non-Kuwaiti,7/1/1998,Student Visa,1/25/2024,1/7/2026,No,"Surveyor, planning and development",Married,Unemployed,,0,12/1/2015,Public,1,Visitor,Brown and Sons,4/26/2020,Work Visa
1.97901E+11,Amina Alhajeri,Female,Non-Kuwaiti,1/27/1978,Residency Visa,7/23/2023,11/28/2025,No,"Buyer, retail",Divorced,Self-Employed,,6864,5/19/2022,Private,3,Permanent Resident,"Kelley, Webb and Mclean",1/12/2023,Work Visa
1.99002E+11,Hamad Alajmi,Male,Non-Kuwaiti,1/3/1994,Work Visa,10/26/2021,3/10/2027,No,Research scientist (life sciences),Married,Retired,,0,5/12/2024,Public,0,Temporary Resident,Johnson LLC,6/6/2022,Student Visa
1.9661E+11,Khalid Almansoori,Male,Kuwaiti,5/14/1995,Student Visa,9/25/2021,4/14/2025,Yes,Editorial assistant,Single,Employed,Farmer LLC,36756,12/25/2015,Private,5,Permanent Resident,Kramer-Turner,5/28/2020,Work Visa
1.9621E+11,Hessa Alsaad,Female,Non-Kuwaiti,6/19/1990,Residency Visa,1/14/2020,1/2/2027,Yes,Event organiser,Single,Retired,,0,12/13/2022,Private,4,Visitor,Mann-Watson,12/30/2022,Tourist Visa
1.97911E+11,Munira Almutawa,Female,Non-Kuwaiti,5/4/1983,Student Visa,11/2/2021,4/14/2026,No,Psychiatric nurse,Divorced,Employed,Lee-Brown,23392,1/8/2015,Public,3,Permanent Resident,Bell-Wells,10/26/2023,Tourist Visa
1.98108E+11,Munira Almutawa,Female,Non-Kuwaiti,3/21/1965,Student Visa,2/11/2023,3/7/2026,No,"Psychologist, clinical",Widowed,Unemployed,,0,11/12/2018,Private,2,Visitor,Ibarra PLC,4/7/2020,Tourist Visa
1.98111E+11,Reem Alotaibi,Female,Non-Kuwaiti,9/6/1958,Tourist Visa,5/30/2021,12/22/2025,No,"Administrator, charities/voluntary organisations",Widowed,Retired,,0,9/14/2015,Public,3,Temporary Resident,"Smith, Thompson and Barnes",1/14/2024,None
1.96006E+11,Saad Alotaibi,Male,Non-Kuwaiti,9/23/1981,Tourist Visa,8/13/2022,12/11/2025,Yes,"Nurse, learning disability",Single,Employed,Stewart-Miller,33496,4/5/2018,Private,0,Permanent Resident,"Hernandez, Ruiz and Jenkins",1/6/2021,Tourist Visa
1.97308E+11,Abdulaziz Almutawa,Male,Kuwaiti,3/12/1982,Student Visa,11/6/2021,11/12/2026,Yes,Clinical research associate,Single,Employed,Vincent LLC,39487,4/22/2024,Public,5,Visitor,Johnson-Dixon,7/5/2023,Work Visa
1.98707E+11,Nour Alshatti,Female,Non-Kuwaiti,10/23/1989,Student Visa,4/13/2020,4/16/2026,No,Garment/textile technologist,Widowed,Unemployed,,0,1/31/2020,Private,0,Visitor,Parker PLC,12/17/2020,Work Visa
1.97008E+11,Sara Alrashidi,Female,Kuwaiti,10/30/1968,Work Visa,9/13/2023,3/1/2025,No,"Engineer, site",Divorced,Retired,,0,6/19/2018,Private,1,Permanent Resident,Davenport-Olson,8/6/2021,Residency Visa
1.96208E+11,Hessa Alsaad,Female,Kuwaiti,10/9/1994,Tourist Visa,6/23/2023,6/10/2026,No,Textile designer,Widowed,Self-Employed,,37451,4/8/2017,Public,5,Temporary Resident,"Sweeney, Rowland and Williams",10/12/2020,Tourist Visa
1.97002E+11,Mohammed Alenezi,Male,Kuwaiti,3/10/1977,Residency Visa,11/20/2022,11/22/2024,No,Nature conservation officer,Married,Unemployed,,0,7/3/2015,Public,0,Temporary Resident,"Smith, Burton and Hall",12/29/2022,Work Visa
1.97311E+11,Abdulaziz Almutawa,Male,Non-Kuwaiti,1/13/1962,Work Visa,10/24/2021,4/30/2027,No,Emergency planning/management officer,Single,Self-Employed,,37505,10/25/2019,Private,2,Permanent Resident,"Johnson, Jones and Parker",2/25/2023,Work Visa
2.00302E+11,Reem Alotaibi,Female,Non-Kuwaiti,10/27/1962,Student Visa,2/5/2021,6/26/2027,No,Chartered management accountant,Married,Retired,,0,12/31/2018,Public,2,Visitor,Montes Group,8/9/2022,None
1.97209E+11,Mubarak Albloushi,Male,Non-Kuwaiti,4/15/1989,Tourist Visa,6/30/2022,11/6/2025,Yes,Chiropractor,Married,Unemployed,,0,3/22/2015,Public,1,Permanent Resident,"Wright, Thompson and Pena",2/1/2021,Tourist Visa
1.98403E+11,Saad Alotaibi,Male,Kuwaiti,11/12/1970,Tourist Visa,9/28/2020,3/9/2026,No,Communications engineer,Widowed,Retired,,0,9/17/2017,Private,4,Permanent Resident,"Taylor, Bradshaw and Jones",12/30/2019,Work Visa
1.98109E+11,Huda Alenezi,Female,Non-Kuwaiti,2/27/1992,Tourist Visa,2/6/2021,5/21/2025,Yes,Operations geologist,Married,Unemployed,,0,9/2/2020,Public,1,Permanent Resident,French Group,10/16/2020,Tourist Visa
2.00308E+11,Abdulaziz Almutawa,Male,Kuwaiti,2/14/2003,Residency Visa,7/2/2020,8/30/2024,No,"Engineer, maintenance (IT)",Single,Self-Employed,,31615,7/20/2019,Private,5,Visitor,Leon-Clark,1/21/2024,None
1.96704E+11,Aisha Alshammari,Female,Kuwaiti,1/25/1979,Tourist Visa,10/25/2022,7/5/2027,Yes,Insurance underwriter,Single,Retired,,0,3/13/2022,Private,5,Permanent Resident,George and Sons,2/20/2021,Student Visa
1.96609E+11,Ahmad Almutairi,Male,Non-Kuwaiti,11/18/2001,Residency Visa,6/5/2020,10/10/2026,No,"Administrator, local government",Widowed,Unemployed,,0,8/10/2022,Public,5,Permanent Resident,"Carlson, Sanchez and Costa",6/22/2020,None
1.99902E+11,Khalid Almansoori,Male,Kuwaiti,4/8/1993,Work Visa,2/6/2021,6/4/2026,Yes,Commercial art gallery manager,Married,Employed,"Medina, Johnston and Graham",31848,12/8/2016,Public,5,Temporary Resident,Crosby Inc,3/17/2020,Work Visa
1.97608E+11,Mishal Alsaad,Male,Kuwaiti,11/30/1968,Work Visa,7/26/2020,6/30/2025,Yes,Medical laboratory scientific officer,Single,Employed,Cruz Group,37886,6/21/2018,Private,3,Visitor,Reeves and Sons,11/28/2023,Tourist Visa
1.96905E+11,Dalal Albloushi,Female,Non-Kuwaiti,6/12/1969,Residency Visa,7/7/2024,11/9/2025,No,"Secretary, company",Married,Retired,,0,3/5/2015,Private,0,Visitor,"Brown, Mathews and Walters",3/3/2024,Student Visa
1.9961E+11,Fahad Almubarak,Male,Non-Kuwaiti,11/15/1998,Tourist Visa,12/7/2020,8/7/2024,No,English as a second language teacher,Married,Self-Employed,,40607,3/5/2022,Private,5,Visitor,Kelley LLC,7/26/2021,Residency Visa
1.98005E+11,Mariam Alajmi,Female,Kuwaiti,5/6/1963,Student Visa,12/11/2020,5/13/2027,No,Systems developer,Divorced,Unemployed,,0,6/14/2023,Public,4,Temporary Resident,Stanley LLC,7/11/2022,Residency Visa
2.00008E+11,Hussein Alkhateeb,Male,Kuwaiti,7/22/2004,Work Visa,5/25/2020,8/4/2024,No,Air traffic controller,Divorced,Retired,,0,4/23/2015,Private,3,Permanent Resident,"Flores, Mann and Lawrence",7/9/2024,Residency Visa
2.00204E+11,Yousef Alhaddad,Male,Kuwaiti,12/13/1974,Tourist Visa,1/4/2021,10/19/2025,No,Newspaper journalist,Married,Retired,,0,3/22/2023,Public,4,Permanent Resident,Massey-Jones,9/25/2023,Student Visa
1.99907E+11,Huda Alenezi,Female,Non-Kuwaiti,8/24/1992,Student Visa,4/1/2021,3/6/2027,No,Applications developer,Widowed,Employed,"Nguyen, Kim and Hammond",19306,9/14/2018,Private,0,Permanent Resident,Rush-Andrews,11/15/2021,None
1.9631E+11,Yousef Alhaddad,Male,Kuwaiti,3/30/2005,Student Visa,3/17/2023,7/22/2024,Yes,Corporate investment banker,Divorced,Employed,Carter Inc,25435,4/11/2020,Private,1,Visitor,Chapman-Curtis,5/8/2020,Work Visa
1.97802E+11,Khadija Almansoori,Female,Non-Kuwaiti,7/22/1969,Work Visa,8/5/2022,10/25/2024,Yes,Civil Service administrator,Divorced,Self-Employed,,36081,11/6/2016,Public,2,Visitor,Hill-Savage,1/20/2024,None
1.98701E+11,Nasser Alhajeri,Male,Kuwaiti,11/14/1989,Student Visa,4/4/2020,2/9/2027,No,"Copywriter, advertising",Married,Unemployed,,0,11/3/2015,Public,1,Visitor,Patel-Bernard,12/2/2022,Work Visa
1.97902E+11,Abdullah Alrashidi,Male,Non-Kuwaiti,2/20/1961,Work Visa,10/2/2023,7/30/2025,Yes,Call centre manager,Single,Unemployed,,0,1/2/2016,Public,5,Permanent Resident,Lawson-Watkins,8/28/2023,Work Visa
1.9611E+11,Mishal Alsaad,Male,Kuwaiti,10/16/1966,Work Visa,11/14/2020,9/29/2026,No,Product designer,Widowed,Self-Employed,,28382,2/15/2023,Private,0,Permanent Resident,Davidson Ltd,7/25/2021,Work Visa
1.98711E+11,Mishal Alsaad,Male,Non-Kuwaiti,9/26/1993,Work Visa,8/15/2021,12/18/2025,Yes,Mental health nurse,Single,Retired,,0,4/20/2021,Private,5,Temporary Resident,Pacheco-Edwards,11/17/2020,Student Visa
1.97712E+11,Salem Alshatti,Male,Kuwaiti,7/13/1982,Work Visa,4/30/2024,2/4/2026,No,"Engineer, technical sales",Widowed,Unemployed,,0,3/31/2016,Private,0,Temporary Resident,Wolfe Inc,1/7/2021,Work Visa
1.98208E+11,Aisha Alshammari,Female,Kuwaiti,5/28/1981,Residency Visa,2/8/2020,1/17/2026,Yes,Wellsite geologist,Married,Retired,,0,3/30/2022,Private,5,Permanent Resident,"Harris, Frost and Nash",9/24/2021,Work Visa
1.99901E+11,Yousef Alhaddad,Male,Kuwaiti,8/25/1987,Work Visa,12/25/2021,11/29/2024,Yes,"Development worker, international aid",Single,Employed,Brooks-Yang,28414,8/11/2018,Private,3,Permanent Resident,"Harrington, Tate and Williams",6/21/2022,Tourist Visa
1.9671E+11,Hind Almubarak,Female,Non-Kuwaiti,5/8/1982,Tourist Visa,5/27/2021,9/30/2026,No,"Geologist, wellsite",Single,Unemployed,,0,12/1/2017,Public,5,Visitor,Lee Group,12/30/2019,Tourist Visa
1.98804E+11,Jana Alfailakawi,Female,Kuwaiti,12/21/1973,Tourist Visa,1/25/2020,1/11/2027,No,Ceramics designer,Widowed,Self-Employed,,43984,5/21/2020,Public,4,Visitor,Pope-Adkins,5/31/2021,Tourist Visa
1.99201E+11,Huda Alenezi,Female,Non-Kuwaiti,3/19/1966,Tourist Visa,9/21/2023,9/30/2025,Yes,Pension scheme manager,Single,Self-Employed,,16458,5/6/2021,Public,0,Permanent Resident,Wilson-Terry,1/13/2022,Tourist Visa
1.96204E+11,Mishal Alsaad,Male,Non-Kuwaiti,7/10/1986,Work Visa,3/31/2022,8/24/2024,Yes,IT sales professional,Widowed,Retired,,0,9/15/2023,Public,2,Permanent Resident,"Stephens, Roberts and Ashley",2/24/2024,Tourist Visa
1.99205E+11,Sara Alrashidi,Female,Non-Kuwaiti,8/5/1991,Student Visa,6/22/2022,2/18/2025,No,Horticultural therapist,Divorced,Retired,,0,2/7/2024,Private,0,Visitor,Francis-Nguyen,3/28/2023,None
1.98506E+11,Munira Almutawa,Female,Non-Kuwaiti,8/23/1999,Residency Visa,7/16/2021,10/22/2024,Yes,Interior and spatial designer,Widowed,Unemployed,,0,5/1/2019,Private,4,Permanent Resident,"Weber, Matthews and Kim",8/29/2019,Student Visa
1.97504E+11,Laila Alhaddad,Female,Non-Kuwaiti,11/29/1997,Work Visa,5/5/2024,11/6/2024,No,Tax inspector,Divorced,Unemployed,,0,3/20/2020,Public,4,Permanent Resident,Atkinson Group,3/1/2021,Student Visa
1.99912E+11,Nour Alshatti,Female,Non-Kuwaiti,6/27/1993,Tourist Visa,5/7/2023,11/24/2026,No,Sports therapist,Divorced,Employed,"Bullock, Cross and Price",48040,6/18/2019,Public,1,Temporary Resident,"Goodman, Davis and Thomas",8/11/2022,Residency Visa
1.96504E+11,Ali Alshammari,Male,Non-Kuwaiti,8/13/1964,Residency Visa,9/6/2022,12/22/2025,Yes,Colour technologist,Married,Retired,,0,1/2/2021,Private,0,Visitor,"Reed, Bailey and Lopez",9/16/2019,Student Visa
1.99812E+11,Munira Almutawa,Female,Kuwaiti,7/20/1997,Work Visa,11/22/2020,11/17/2024,Yes,Film/video editor,Single,Retired,,0,2/22/2021,Private,2,Permanent Resident,"Ortiz, Hancock and Freeman",6/2/2023,Student Visa
1.98505E+11,Ahmad Almutairi,Male,Non-Kuwaiti,7/1/1999,Residency Visa,6/2/2021,1/24/2027,No,Energy manager,Single,Self-Employed,,42293,8/26/2015,Public,4,Temporary Resident,Hunter PLC,11/3/2022,None
1.97108E+11,Sara Alrashidi,Female,Kuwaiti,11/29/1998,Tourist Visa,1/5/2021,9/12/2025,No,"Optician, dispensing",Married,Self-Employed,,27888,8/1/2019,Private,4,Visitor,Russell-Smith,12/10/2021,Residency Visa
1.9741E+11,Laila Alhaddad,Female,Non-Kuwaiti,5/19/1990,Work Visa,3/26/2021,3/3/2025,No,Outdoor activities/education manager,Divorced,Retired,,0,3/1/2024,Public,3,Temporary Resident,Austin Inc,5/7/2023,Student Visa
1.99503E+11,Mishal Alsaad,Male,Kuwaiti,3/21/1979,Work Visa,1/12/2024,1/8/2026,No,Counsellor,Divorced,Unemployed,,0,11/14/2022,Public,0,Visitor,Fitzpatrick and Sons,9/14/2019,None
1.9811E+11,Mubarak Albloushi,Male,Non-Kuwaiti,8/12/1960,Tourist Visa,4/29/2021,3/21/2027,No,"Therapist, speech and language",Married,Self-Employed,,19775,6/12/2019,Private,4,Permanent Resident,"Boyd, Smith and Hardin",2/16/2024,Residency Visa
1.97612E+11,Dalal Albloushi,Female,Kuwaiti,10/8/1981,Residency Visa,2/1/2020,1/10/2027,Yes,Camera operator,Widowed,Self-Employed,,8697,2/21/2018,Public,4,Temporary Resident,"Moreno, Mccann and Franklin",3/30/2021,Tourist Visa
1.97904E+11,Mishal Alsaad,Male,Non-Kuwaiti,3/14/1995,Student Visa,4/15/2020,4/18/2027,Yes,Film/video editor,Divorced,Self-Employed,,12694,4/19/2020,Public,0,Temporary Resident,Parks-Ellis,12/29/2022,Student Visa
2.00304E+11,Hamad Alajmi,Male,Non-Kuwaiti,3/2/1991,Tourist Visa,7/11/2022,8/8/2025,No,Environmental health practitioner,Divorced,Unemployed,,0,4/2/2023,Private,1,Temporary Resident,Johnson Inc,6/13/2023,Work Visa
1.97905E+11,Abdullah Alrashidi,Male,Non-Kuwaiti,8/13/1966,Tourist Visa,11/5/2021,1/30/2027,Yes,"Horticulturist, commercial",Married,Employed,Turner Inc,42848,5/12/2019,Private,5,Temporary Resident,Davis-Martinez,7/10/2020,Work Visa
1.96603E+11,Abdullah Alrashidi,Male,Non-Kuwaiti,5/23/2003,Work Visa,1/3/2021,7/31/2024,Yes,"Presenter, broadcasting",Married,Self-Employed,,6722,4/7/2021,Private,0,Permanent Resident,Reese and Sons,5/29/2024,Residency Visa
1.97612E+11,Nour Alshatti,Female,Kuwaiti,4/10/2004,Tourist Visa,3/18/2022,6/1/2026,Yes,Homeopath,Married,Unemployed,,0,12/19/2019,Private,1,Permanent Resident,Rosario LLC,2/20/2021,Residency Visa
1.96704E+11,Khadija Almansoori,Female,Non-Kuwaiti,9/18/1996,Residency Visa,3/12/2022,11/16/2026,No,Outdoor activities/education manager,Divorced,Employed,Gonzales Group,27578,11/22/2020,Public,2,Visitor,Munoz Inc,2/22/2021,Work Visa
1.97504E+11,Ahmad Almutairi,Male,Non-Kuwaiti,11/25/1978,Residency Visa,10/29/2023,1/1/2026,Yes,Artist,Married,Self-Employed,,14922,10/5/2014,Public,0,Visitor,Thompson-Smith,5/21/2023,Work Visa
1.97208E+11,Yousef Alhaddad,Male,Kuwaiti,7/17/1965,Residency Visa,2/16/2024,5/17/2026,Yes,Biomedical engineer,Widowed,Unemployed,,0,4/3/2016,Private,5,Visitor,Huerta-Jackson,3/2/2020,Student Visa
1.96606E+11,Hussein Alkhateeb,Male,Non-Kuwaiti,4/28/2000,Residency Visa,11/22/2021,3/31/2026,No,"Nurse, learning disability",Divorced,Employed,"Clark, Morrow and White",28627,5/9/2024,Public,2,Temporary Resident,Weiss-Fisher,9/26/2023,Work Visa
1.97101E+11,Ali Alshammari,Male,Non-Kuwaiti,11/1/1983,Work Visa,4/18/2022,6/24/2027,Yes,"Nurse, children's",Widowed,Employed,Rollins Ltd,40083,4/18/2023,Private,1,Permanent Resident,Sexton-Simmons,9/22/2023,Tourist Visa
1.99712E+11,Nasser Alhajeri,Male,Kuwaiti,5/20/1961,Tourist Visa,9/18/2023,3/11/2026,Yes,Health visitor,Divorced,Retired,,0,9/14/2017,Private,2,Permanent Resident,Quinn PLC,3/2/2022,Student Visa
1.98312E+11,Nasser Alhajeri,Male,Non-Kuwaiti,6/3/1998,Student Visa,11/18/2023,7/10/2026,No,Agricultural engineer,Divorced,Self-Employed,,41106,10/20/2023,Public,1,Visitor,Jackson-Curtis,1/13/2024,Student Visa
1.97212E+11,Khadija Almansoori,Female,Non-Kuwaiti,11/28/1970,Student Visa,7/28/2022,6/7/2027,Yes,Operational researcher,Divorced,Retired,,0,5/22/2016,Public,0,Visitor,Wyatt Inc,9/27/2023,Tourist Visa
1.9741E+11,Nasser Alhajeri,Male,Kuwaiti,9/10/1979,Student Visa,10/11/2023,1/19/2025,No,"Civil engineer, consulting",Single,Unemployed,,0,1/8/2022,Public,4,Temporary Resident,"Brown, Harris and Butler",2/10/2022,Student Visa
1.9861E+11,Reem Alotaibi,Female,Kuwaiti,8/30/2003,Residency Visa,11/12/2021,10/18/2026,No,Accounting technician,Single,Unemployed,,0,3/4/2024,Public,5,Visitor,"Young, Calhoun and Newman",2/10/2021,Residency Visa
1.96209E+11,Khadija Almansoori,Female,Kuwaiti,12/13/1970,Tourist Visa,7/27/2023,7/30/2024,No,"Clinical scientist, histocompatibility and immunogenetics",Single,Self-Employed,,24238,9/3/2015,Private,3,Visitor,"Thompson, Morgan and Martinez",3/19/2020,Work Visa
